사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
20-Apr,9호선,4107,가양,368520,352855,89968,87145
20-Apr,9호선,4108,증미,125437,123401,28936,29284
20-Apr,9호선,4109,등촌,175307,171341,54795,55010
20-Apr,9호선,4110,염창,334627,322341,47862,47640
20-Apr,9호선,4111,신목동,70969,62936,12898,12093
20-Apr,9호선,4112,선유도,143915,139961,18709,18227
20-Apr,9호선,4113,당산,364240,359993,41801,37972
20-Apr,9호선,4114,국회의사당,286627,291856,28952,24861
20-Apr,9호선,4115,여의도,454566,441655,27576,25891
20-Apr,9호선,4116,샛강,97458,102230,16616,16019
20-Apr,9호선,4117,노량진,553753,558152,66480,67976
20-Apr,9호선,4118,노들,76673,63428,20844,19232
20-Apr,9호선,4119,흑석(중앙대입구),131715,138940,35348,35688
20-Apr,9호선,4120,동작(현충원),32480,26906,7566,6891
20-Apr,9호선,4121,구반포,44381,47477,13549,13581
20-Apr,9호선,4122,신반포,44876,45516,11016,10646
20-Apr,9호선,4123,고속터미널,221968,302117,31873,35949
20-Apr,9호선,4124,사평,49251,47056,10567,10432
20-Apr,9호선,4125,신논현,665983,687520,39934,38255
20-Apr,공항철도 1호선,4201,서울역,122315,116587,21537,19986
20-Apr,공항철도 1호선,4202,공덕,41948,54864,4488,5328
20-Apr,공항철도 1호선,4203,홍대입구,190609,197301,11466,11103
20-Apr,공항철도 1호선,4204,디지털미디어시티,248727,229474,15122,14289
20-Apr,공항철도 1호선,4206,마곡나루(서울식물원),143208,133040,7318,7384
20-Apr,공항철도 1호선,4207,김포공항,157227,100741,11613,8021
20-Apr,공항철도 1호선,4208,계양,194867,175797,17865,16638
20-Apr,공항철도 1호선,4209,검암,155879,150620,12990,13236
20-Apr,공항철도 1호선,4210,청라국제도시,129318,121208,7166,7084
20-Apr,공항철도 1호선,4211,운서,131725,134473,17422,17291
20-Apr,공항철도 1호선,4212,공항화물청사,48406,54157,7266,7177
20-Apr,공항철도 1호선,4213,인천공항1터미널,80120,77830,9725,9869
20-Apr,공항철도 1호선,4215,인천공항2터미널,45168,39123,4616,4180
20-Apr,공항철도 1호선,4217,영종,51495,52231,12683,12792
20-Apr,9호선2~3단계,4126,언주,184170,185046,16729,16460
20-Apr,9호선2~3단계,4127,선정릉,180198,194396,14619,15313
20-Apr,9호선2~3단계,4128,삼성중앙,120662,124851,13961,13767
20-Apr,9호선2~3단계,4129,봉은사,286951,290811,26363,24941
20-Apr,9호선2~3단계,4130,종합운동장,80765,78161,10376,9485
20-Apr,9호선2~3단계,4131,삼전,120224,116678,22734,22432
20-Apr,9호선2~3단계,4132,석촌고분,101809,98465,20369,20688
20-Apr,9호선2~3단계,4133,석촌,145953,123985,20370,17347
20-Apr,9호선2~3단계,4134,송파나루,79452,83684,16093,16390
20-Apr,9호선2~3단계,4135,한성백제,42759,36839,9468,8315
20-Apr,9호선2~3단계,4136,올림픽공원(한국체대),100137,98082,12730,13004
20-Apr,9호선2~3단계,4137,둔촌오륜,15232,14256,3681,3556
20-Apr,9호선2~3단계,4138,중앙보훈병원,144249,126422,51495,50918
20-Apr,우이신설선,4701,북한산우이,47168,43459,28452,30188
20-Apr,우이신설선,4702,솔밭공원,32398,29617,20209,21050
20-Apr,우이신설선,4703,4.19민주묘지,39048,37343,26386,24067
20-Apr,우이신설선,4704,가오리,58169,53523,32111,33769
20-Apr,우이신설선,4705,화계,45564,40240,28943,29261
20-Apr,우이신설선,4706,삼양,26089,27511,20682,23029
20-Apr,우이신설선,4707,삼양사거리,29363,29346,26671,27143
20-Apr,우이신설선,4708,솔샘,98088,86997,25955,27247
20-Apr,우이신설선,4709,북한산보국문,100404,92035,30070,30669
20-Apr,우이신설선,4710,정릉,66179,59076,33329,32005
20-Apr,우이신설선,4711,성신여대입구(돈암),49730,61501,20451,19964
20-Apr,우이신설선,4712,보문,23184,23170,11302,11781
20-Apr,우이신설선,4713,신설동,30248,32349,17747,15876
