사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
43922,2호선,209,한양대,2,0,1073,317,1917,5766,4381,8990,6744,26725,5075,21034,3684,13941,4949,9386,5554,10232,6240,10633,6995,10367,8780,7600,13069,6866,22564,7233,20851,8874,11216,5699,9249,4219,8667,3849,8603,3543,4176,2798,2,7,0,0,0,0,0,0
43922,2호선,210,뚝섬,28,0,3419,1693,7306,13418,17070,26792,24152,107568,15194,64245,10905,25301,11010,19607,13154,21756,16336,25348,19159,24058,22150,23474,29693,23051,47185,25575,99132,34693,52422,23243,29592,12305,25108,10721,18563,9492,6062,6776,1,140,0,0,1,0,0,0
43922,2호선,211,성수,27,0,5228,3482,8548,26279,20386,61517,27110,224468,21224,105118,16843,36805,17657,28196,18782,28818,24508,33843,27196,31811,31124,32350,40941,30556,86722,34520,177435,43964,80268,29632,45152,16718,42460,13056,31872,12104,9857,11682,13,4841,0,0,0,0,0,0
43922,2호선,212,건대입구,271,5,16171,2163,18585,17378,45935,23595,77820,51351,53070,35423,28484,29712,26767,31817,30192,39239,34147,46984,35460,49087,38679,53085,45969,59158,58022,83956,71698,132505,57135,101521,57220,60036,64194,49676,69642,42336,36195,26595,19,4047,1,1,0,0,0,0
43922,2호선,213,구의(광진구청),9,1,11576,1244,23114,8736,57161,13424,96379,33270,59365,20997,28228,16344,23308,15358,24554,17639,25457,20199,23085,22100,22368,26997,24391,31738,29375,45597,36794,78318,21267,61611,16463,40579,15790,34984,15219,32923,6678,18693,18,1485,1,0,0,0,0,0
43922,2호선,214,강변(동서울터미널),18,0,7498,2468,23111,16956,67530,20019,96483,38113,67168,32100,41009,30121,38170,28600,39178,31395,39878,35463,38909,36872,39868,42296,39869,49776,43907,64841,52359,102660,42132,75960,31651,48639,26776,38325,17677,38186,6230,22000,6,371,0,0,0,0,0,0
43922,2호선,215,잠실나루,1,0,2221,1476,9277,9503,31602,18983,37846,31564,21972,20174,15514,13461,14995,11430,14664,13921,14616,14658,15914,12890,16976,12786,20865,12885,26944,18455,27090,32010,13894,25285,9444,14445,6892,13014,5371,12645,2029,8331,2,134,0,0,0,0,0,0
43922,2호선,216,잠실(송파구청),95,4,9845,5261,39077,28246,93729,64922,137816,144991,105396,115823,60027,64984,54284,59709,60658,61330,67927,67409,68287,66244,72861,73043,87047,82757,126940,111014,175044,174417,114521,125513,108483,74560,83879,66304,52575,63101,19336,39640,13,541,0,0,0,0,0,0
43922,2호선,217,잠실새내,16,1,4006,813,13554,7328,45289,13269,58488,22601,35480,24891,20748,18126,18734,18087,21427,19926,22437,23180,21007,24852,22867,25611,26166,29583,28336,42471,33711,71291,25718,54613,22218,30073,22786,23974,22351,22529,11097,12978,16,1467,0,0,0,0,0,0
43922,2호선,218,종합운동장,3,0,1509,1021,4703,4451,14377,7742,18270,14899,13856,8465,7257,5374,6237,4901,6525,5739,7107,6718,6928,6315,7217,7283,8568,8051,10940,11951,12807,19022,6768,13957,4236,8726,3888,8150,3208,8622,1143,5344,11,555,1,2,0,0,0,0
43922,2호선,219,삼성(무역센터),134,1,4602,4499,6106,37202,13240,109492,17568,254777,15971,206218,16179,77287,22043,48822,26640,40773,33903,46728,43842,41641,56645,36599,69261,34961,141175,36770,232578,44270,140953,27441,97580,13598,74119,10563,44267,9151,10976,6851,1,4843,0,0,0,0,0,0
43922,2호선,220,선릉,140,1,4397,6250,9512,34755,17605,100114,24879,248939,24059,194330,25660,80667,33104,50451,39547,43874,48517,52483,56707,45945,74152,39162,105607,36390,150329,41462,253092,45837,133783,30824,78418,17733,72707,14296,61680,12500,19672,7953,9,126,0,0,0,0,0,0
