사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
43922,3호선,319,종로3가,7,0,613,633,999,4639,1279,12764,1922,43161,2763,42135,4214,25808,6040,18046,7408,17464,8750,17177,10585,16341,14474,15318,15748,12024,25531,11639,47002,12329,28585,6934,14044,3304,15385,2372,12117,1814,4271,1530,12,228,1,1,0,0,0,0
43922,3호선,320,을지로3가,3,0,483,819,859,7338,1481,30334,2175,65421,2896,32052,3752,13856,4815,10374,5913,9474,7844,10520,9719,8942,11214,8608,13673,8471,31097,9249,57468,11387,25586,6786,15354,2774,13941,1850,11461,1266,4731,1096,4,195,0,0,0,0,0,0
43922,3호선,321,충무로,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,3,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0
43922,3호선,322,동대입구,9,1,961,953,1904,6897,3684,14351,5575,44790,4422,21019,3871,12471,4265,10612,5336,8843,6363,9362,8404,9032,10455,7518,13161,6928,32690,7180,29510,8071,13093,5399,8140,3423,7319,3352,6084,3146,1810,1796,2,422,0,0,0,0,0,0
43922,3호선,323,약수,99,4,5214,925,9077,5170,19999,9843,32111,28630,22024,18780,14683,11949,13784,11189,14627,11108,15753,12228,14625,13287,14503,14149,16616,16540,20777,22915,28007,34565,16693,24692,12361,15723,11989,13915,9565,12727,3782,8082,6,2558,0,0,0,0,0,0
43922,3호선,324,금호,30,1,4475,566,8288,2520,21949,4002,29816,7501,19298,5737,11228,5220,9523,5503,9377,6155,9685,7061,8770,8215,8225,9859,8599,12027,9591,16633,9792,25961,6794,19730,5193,12856,4261,11041,3298,9848,1283,5774,0,0,0,0,0,1,0,0
43922,3호선,325,옥수,213,15,2590,1013,7668,4074,19333,5872,25655,13919,16919,9499,11268,6701,9792,7153,10281,8135,11045,9609,10697,9548,10644,11614,12470,12937,13982,18576,15674,28357,9854,22276,7559,14178,6556,11836,4789,11570,2009,6090,88,620,0,0,0,0,0,0
43922,3호선,326,압구정,25,0,2714,1897,6645,19381,12804,39315,18515,116267,14530,140707,16513,57847,20960,41026,24179,35017,27232,40665,33224,37605,40947,32284,49823,30606,72438,36387,111876,43214,85996,26677,63156,12790,41692,9670,30719,7771,7840,4313,20,1973,0,0,0,1,0,0
43922,3호선,327,신사,59,5,3168,1260,5579,16851,9593,40139,14824,98571,12760,116371,12969,55705,16880,36218,19716,36721,23779,41136,29192,39977,35986,36489,45214,34937,69903,40104,117307,56098,84876,34388,54384,15549,57328,11054,48962,8046,16598,6476,4,258,0,0,0,0,0,0
43922,3호선,328,잠원,6,0,1248,666,5075,3325,12782,6394,16660,8657,10118,6442,6525,3870,6106,4163,6643,5011,6542,5748,5945,5515,6553,5996,7362,6904,8634,9560,9440,15541,6164,11393,3934,6980,3652,6249,2884,7078,846,3970,0,8,0,0,0,0,0,0
43922,3호선,329,고속터미널,105,1,4229,2621,5617,21560,19752,35923,30543,59076,31162,76324,32240,64122,38867,60573,47972,59901,52243,62320,55035,63884,62791,66995,72392,64827,92899,71800,103297,87338,84632,59641,99178,33563,56969,23551,40492,16603,12091,10681,0,444,0,1,0,0,0,0
43922,3호선,330,교대(법원.검찰청),24,0,925,562,2598,5257,6290,17731,8925,41800,7876,31270,8267,13461,10186,8954,10988,8119,13536,8885,16118,8450,18036,7785,20940,7621,33089,9348,57342,13368,25101,8279,17358,3942,18105,2896,20717,2565,5196,2137,2,40,0,0,0,0,0,0
43922,3호선,331,남부터미널(예술의전당),40,1,2316,990,7458,21669,21205,50194,30974,131790,25198,70113,23146,37013,24382,27547,26167,29068,29746,31207,30950,32905,34882,31388,41001,33218,73129,36041,118662,45132,57136,31829,35307,19012,31570,14438,23103,10886,6428,7100,3,83,0,0,0,0,0,0
43922,3호선,332,양재(서초구청),90,0,4243,2220,11470,33032,26361,92527,35235,205059,25302,108490,20852,45002,22754,32021,26412,28885,30167,33774,32602,30196,38800,29564,48791,30742,95813,40665,173792,56006,85742,41084,51235,25105,47131,20663,34092,16876,9556,10689,9,1215,0,0,0,1,0,0
43922,3호선,333,매봉,7,2,1224,472,5115,8043,10954,17064,13826,54469,9952,34184,7582,10942,7130,7853,7805,8040,9104,8335,10375,7560,11756,8055,13857,8205,26230,11049,51145,15961,21777,11845,12267,6520,12103,5788,8588,5435,2338,3367,6,423,0,0,0,0,0,0
43922,3호선,334,도곡,13,0,882,255,2925,3308,6698,9714,8392,17179,5208,13128,3526,5706,3686,3989,4300,4617,4791,4655,4895,4536,6246,4336,8431,4353,11605,5868,14819,7706,7927,6932,5069,3917,4593,3387,3160,3368,826,1955,7,1550,0,0,0,0,0,0
43922,3호선,335,대치,3,0,1906,712,9799,7073,19220,14854,18139,20949,10244,14583,7700,9458,7559,8402,9508,10268,10480,13098,9906,11623,12514,10257,13211,12984,18713,17003,21868,21362,13731,17564,9999,9525,10670,8464,22356,8082,2266,4773,1,27,0,0,0,0,0,0
43922,3호선,336,학여울,0,0,418,172,1441,1570,2943,2723,3319,5469,2192,2863,1440,1626,1395,1201,1541,1393,1528,1529,1611,1630,2203,1695,2528,1770,3415,2228,4779,3353,2299,2829,1447,1595,1395,1478,1053,1453,208,941,1,15,0,0,0,0,0,0
43922,3호선,337,대청,17,0,3073,1073,8678,6320,21941,9162,24837,18418,13337,11516,9423,5486,8648,5650,9078,6010,10013,6738,9254,7417,10507,8637,12894,9862,17365,13572,19451,21048,11300,18588,6540,11668,5380,10142,4030,10828,1238,6518,1,143,0,0,0,0,0,0
43922,3호선,338,일원,6,0,1671,1427,6610,7293,17449,21514,17005,18541,10891,12662,9940,12240,10461,8290,10552,8980,9956,10550,10633,8765,12962,7778,16458,6987,25001,9267,12571,14546,7833,12694,4816,7986,3083,7249,2639,7732,801,3747,0,94,0,0,0,0,0,0
43922,3호선,339,수서,223,1,3794,1559,10482,10643,26382,21964,33579,42312,21759,23964,18611,15251,14924,12562,18323,14589,18482,14899,15668,15773,19534,17679,21409,19615,28747,24824,41113,37884,20040,29959,17680,19653,12302,14680,10105,15210,3181,7451,2,758,0,0,0,0,0,0
43922,3호선,340,가락시장,12,0,2232,541,5869,4709,16051,9382,18178,24727,12336,13567,9971,8640,9514,8419,9850,8570,10495,9078,10767,9626,11264,10799,12476,11105,15724,14083,25071,20308,11237,15883,8043,9751,7299,7850,5653,7047,1666,4310,11,1164,0,0,0,0,0,0
43922,3호선,341,경찰병원,7,0,2149,117,6160,2760,17553,7235,21141,25231,12729,12469,8896,7299,7547,5182,6968,5856,8166,7036,7822,7068,7846,6885,8147,7449,12731,10472,17226,17032,6498,14368,4564,9379,4827,7032,3193,6648,718,3857,2,869,0,0,0,0,0,0
43922,3호선,342,오금,10,0,2930,7,6332,1722,21220,4702,24829,11842,12873,4931,6907,3591,5621,3293,6182,3728,6082,4152,5144,4486,5003,5516,5596,6373,8361,10218,10934,16980,4633,12781,3121,10035,2709,7247,2145,7607,487,4566,3,1319,1,1,0,0,0,0
43922,4호선,409,당고개,54,1,7707,27,15322,6504,41384,6826,43759,11591,24722,12422,16901,11822,14765,9790,15896,10683,15912,10635,14842,11495,14166,14425,14741,16518,15510,20999,14845,32323,10832,32062,6657,20510,5176,17284,4207,16900,1084,12425,3,1048,0,0,0,0,0,0
43922,4호선,410,상계,67,1,11440,124,30569,6307,76796,7928,68747,16479,37416,14594,23159,13671,20732,12943,21241,15055,21577,16085,19675,17392,18564,20140,19982,24396,19978,33999,20277,55760,13928,54527,9979,33074,9305,27680,10407,24894,2673,19832,8,475,0,0,0,0,0,0
43922,4호선,411,노원,140,2,10407,538,21543,7599,46167,11350,48026,25081,28596,27647,20540,19794,19617,18153,21332,20500,22805,23598,22222,26054,22699,28250,25316,32412,27487,44280,29837,69730,22971,61026,23914,35563,21160,29049,21837,24787,8413,19031,14,3092,0,0,0,0,0,0
43922,4호선,412,창동,1686,13,14656,2688,32239,12482,80208,15034,71408,33634,45382,24899,32452,21722,29894,22427,30411,24780,31837,28524,29580,31883,29998,37382,33176,42317,36147,53064,37898,83276,23664,76924,17831,45243,16414,36238,14458,32411,6366,22618,242,3826,0,0,0,0,0,0
43922,4호선,413,쌍문,70,0,19825,986,46394,9321,107000,12482,118681,25154,68641,18689,42080,16421,34316,16651,33779,20003,32800,21784,29110,24987,27581,32362,30028,39137,31998,54046,32048,92620,22543,90166,16029,55716,13517,45652,10306,40762,4640,27756,5,571,0,0,0,0,0,0
43922,4호선,414,수유(강북구청),129,7,17417,3551,38880,10968,95061,17941,114817,47252,68716,35554,43705,24539,38474,25798,40610,28392,41112,32620,40428,36966,39270,41078,40036,49975,46186,66382,54494,108599,35556,101671,26089,63206,24161,53685,21082,45491,10289,31503,1,158,0,0,0,0,0,0
43922,4호선,415,미아(서울사이버대학),31,9,9187,1712,18179,4760,41303,9351,49669,25808,29547,15339,19525,12097,18060,12599,18663,12979,18759,14864,18124,15966,16406,19898,18294,21491,19228,28243,23215,42165,15779,37051,10607,22467,8245,19392,5912,16469,2265,11196,1,3,0,0,0,0,0,0
43922,4호선,416,미아사거리,22,3,12724,2249,32205,7600,79119,13413,93062,29476,54116,29263,33333,22310,30235,23044,31913,25541,32768,27690,31874,30662,32425,37022,35093,42621,36341,55695,39253,92886,30898,76963,29645,45220,17903,37737,14440,33080,6484,19529,1,6,0,0,0,0,0,0
43922,4호선,417,길음,16,0,7628,1976,24425,7417,67840,10364,74346,22450,39361,15897,23727,13032,20188,12761,21017,14210,22006,16680,19364,17967,19076,20935,20376,24746,24760,36716,24549,62659,16106,54079,12194,31383,9172,27056,9257,25921,2876,16107,1,2,0,3,0,0,0,0
43922,4호선,418,성신여대입구(돈암),45,3,4718,1477,14725,5879,37508,12353,46652,28702,30385,22390,20395,16670,19451,16493,22166,19543,23988,21448,23476,22488,24443,24902,26854,26676,32542,37109,38270,56052,26121,46335,22648,28700,24007,23003,21975,22037,8774,14265,3,0,0,0,0,0,0,0
43922,4호선,419,한성대입구(삼선교),54,1,6268,921,10801,5128,25051,12051,32280,23439,21112,17874,14373,12417,13347,12049,15290,13110,16253,14280,15413,14312,16077,15383,19171,17470,23867,23181,26237,32472,15220,26626,11250,16680,11080,14040,8640,13954,3442,8973,4,7492,0,0,0,0,0,0
43922,4호선,420,혜화,42,4,3034,2224,6213,17124,13588,38233,17055,95208,18620,60055,21958,39213,24463,33517,23489,37963,25039,52887,32761,47867,42000,35991,51471,35641,68593,43913,91647,53620,52940,40807,47769,17413,59011,14594,53309,12144,18144,8718,0,732,0,0,0,0,0,0
43922,4호선,421,동대문,249,14,6812,2727,3614,12931,4972,36776,6856,75023,10283,64566,15235,48398,20565,42126,25703,33292,28740,32499,35818,31935,42172,26989,50416,19745,77111,14382,66599,10987,30402,14209,20724,9805,19646,5790,10800,3955,4618,5994,1,114,0,0,0,1,0,0
43922,4호선,422,동대문역사문화공원(DDP),267,4,8378,1279,3983,10334,5518,25208,6296,63222,6195,35523,6116,19960,8471,18145,10525,15999,12643,17066,16502,16117,22804,14005,24955,12662,42796,13176,65145,14597,36025,23770,25352,11507,23124,6654,17211,4994,7285,4855,11,527,0,0,0,0,0,0
43922,4호선,423,충무로,56,3,2337,2328,3350,15146,6491,50209,9769,158134,10595,88051,10913,41529,13937,29880,17028,27476,22149,29104,27801,25881,31144,22167,40834,20882,71722,22928,127856,27302,63471,17598,40305,9005,37252,7554,30412,6148,12341,5304,4,677,0,0,0,0,0,0
43922,4호선,424,명동,31,0,445,922,1797,10702,2472,31471,3622,83215,5101,55944,6480,30211,8783,26145,10748,24431,14130,25199,18834,23139,24449,20159,31372,18264,46175,16785,81194,16483,43192,9704,33237,4821,28570,3093,16255,1713,3474,1154,5,188,0,0,0,0,0,0
43922,4호선,425,회현(남대문시장),32,0,1698,616,2699,16981,3671,47558,5914,118866,6942,86081,9679,63048,16232,45988,22146,36628,28794,32771,34444,29724,43080,24174,59994,17778,81113,13799,104939,11425,40562,6606,37340,3365,14444,3695,8866,3288,2739,1752,6,200,0,0,0,0,0,0
43922,4호선,426,서울역,159,7,4584,458,4586,9025,9754,28401,12125,72445,8610,36098,6362,13931,7876,12806,8402,13889,9271,14581,8778,14342,10358,15660,12657,16163,32038,20148,58064,21140,20205,16345,11764,11341,10516,9729,7447,8293,2721,5585,4,1415,0,0,0,0,0,0
43922,4호선,427,숙대입구(갈월),10,0,2760,786,6289,5625,13791,16545,21652,43647,14310,25715,10847,12131,11306,11583,12196,11811,13102,13282,13904,13463,14074,13983,18146,15004,27604,19810,43748,27278,21486,20241,15408,12010,14455,10535,12511,9252,5409,6651,0,0,0,0,0,0,0,0
43922,4호선,428,삼각지,1,0,382,307,1687,4248,4130,8492,6377,22173,4266,9568,3141,4936,3114,4557,3494,4273,4367,4613,4504,4581,4780,4824,6007,4938,10502,6522,20587,9900,8540,6849,5382,3946,5174,3329,4158,3116,1766,2471,4,465,0,1,0,0,0,0
43922,4호선,429,신용산,2,0,958,1340,3228,11944,8122,29341,12158,81281,9198,48300,7307,19704,8882,13756,10183,12581,11917,14550,12716,14181,15829,13324,21939,13744,40333,16595,75378,21549,35850,14699,23041,8067,18090,6323,12617,4772,4683,2682,1,0,0,0,0,0,0,0
43922,4호선,430,이촌(국립중앙박물관),14,0,984,560,3666,6888,9901,11327,13220,20580,8630,10883,5981,6541,5561,6105,6234,6926,6849,8260,7351,8019,8026,7889,11718,8471,13728,10920,17090,16782,8081,12414,5519,7450,5777,5887,3606,5379,1267,3239,1,32,0,0,0,0,0,0
43922,4호선,431,동작(현충원),35,0,358,120,1182,2230,3930,3613,4901,5794,3543,3721,2852,3168,2766,3071,2915,2965,3154,3626,3585,4181,4470,4017,4774,3708,5797,4645,6859,6424,3625,4391,2503,2679,2254,2115,1537,1844,579,1390,11,613,0,0,0,0,0,0
43922,4호선,432,총신대입구(이수),76,0,5115,1003,13927,9711,38623,14213,49986,36138,30089,30908,20316,20115,20466,18418,21034,20426,23224,23562,22777,24278,23500,27044,25281,31843,29218,42768,39053,64538,23274,47824,20850,24998,17835,21023,16147,18298,6558,10769,12,1332,0,0,0,0,0,0
43922,4호선,433,사당,86,3,9082,1033,20271,13428,56246,18181,73695,28710,53557,22449,30456,17885,24456,17728,26677,18816,28052,20643,26117,20504,24563,24273,26374,30902,33354,44429,40461,71271,28193,53887,23525,29903,25685,25673,24432,23829,9580,16915,14,3585,0,0,0,0,0,0
43922,4호선,434,남태령,50,0,381,108,792,797,1908,2089,2420,2902,2060,1236,1227,1003,1166,776,1222,940,1273,875,1372,1035,1307,1015,1685,1109,2464,1310,2632,1524,1172,1357,818,801,463,735,265,547,87,410,2,39,0,0,0,0,0,0
43922,경부선,1001,서울역,0,0,56,162,57,1221,5451,1917,10565,2515,6256,1177,4841,987,5366,641,6135,862,4832,899,2975,904,5445,1218,5996,1653,6089,2925,8152,4561,6504,2475,5815,1286,5501,949,3637,752,1686,247,22,23,0,0,0,0,0,0
43922,경부선,1002,남영,48,1,2610,1133,3493,6296,10138,16704,13254,45298,8901,25833,6749,8954,7561,8753,8252,8121,8682,8885,9422,8692,11239,8625,13892,9478,22547,12699,40896,17550,16170,12861,10909,7997,10100,6935,8772,6676,3281,4090,20,302,0,0,0,0,0,0
43922,경부선,1003,용산,257,5,3579,4470,4333,30642,15440,52603,20776,111254,21449,70649,16634,48996,25666,35723,24556,37034,31115,39479,31628,38761,43262,37033,51658,37091,75004,39142,115820,51527,70488,35072,59225,22402,50032,17060,32780,10422,12116,3929,320,1047,0,0,0,0,0,0
43922,경부선,1004,노량진,276,6,4393,1578,5557,5818,14358,11482,19548,17250,10873,10349,8178,7201,8628,7165,9750,8681,11452,10109,10037,8498,10017,9505,11765,11243,15301,17641,19345,28869,11794,19037,11419,11084,14051,9524,16253,8415,5473,5600,73,494,0,0,0,0,0,0
43922,경부선,1005,대방,414,0,4703,2517,9467,10430,24876,29170,31842,41799,17795,19716,11953,8950,11173,7966,11348,8829,12620,10836,12357,9823,13339,10834,15239,12934,26824,18525,39986,30745,15948,21824,10156,14817,9813,12919,7993,11482,2360,7250,19,604,0,0,0,0,0,0
43922,경부선,1006,영등포,3754,30,16033,5582,14171,18642,31967,51229,44867,99968,31795,74992,24832,54297,28674,50379,35829,49797,39704,56275,43661,54283,49843,54235,60446,56841,80322,68542,120639,95890,77554,65394,80857,34384,64248,24668,43119,20315,19946,11075,120,2064,0,0,0,0,0,0
43922,경부선,1007,신도림,416,1,2071,562,2867,1984,8553,6051,10471,13085,5519,5551,3605,3177,3207,2938,3541,3064,3738,3379,3557,3459,3955,4111,4467,4325,6999,7080,12450,10838,5453,7354,4273,4205,3379,3458,2085,2954,1038,1983,19,1572,0,0,0,0,0,0
43922,경부선,1032,신길,690,8,10407,1952,9632,4949,19874,13252,26309,24065,15522,9514,9140,5109,8034,5096,8319,5292,8711,6014,8016,6388,8569,7548,10085,8770,15444,13744,27083,19962,11770,14829,6375,9763,6040,9885,4288,8119,1680,5331,16,704,0,0,0,0,0,0
43922,경부선,1701,구로,9443,33,21025,4631,16610,11701,31572,27374,31174,67901,20757,33916,15251,17219,14533,13589,15064,12926,15429,15056,15599,14349,17199,16118,20824,18661,37375,28653,55482,34767,23690,25995,13880,16988,11958,16996,9080,14034,4214,11069,31,8703,0,0,0,0,0,0
43922,경부선,1702,가산디지털단지,935,4,8438,2179,5994,11071,11485,47490,11785,130802,8071,68050,7482,19088,7926,12881,9497,11875,10699,13388,11225,12333,12748,12550,18810,13984,55307,18946,96144,21828,44399,17025,25711,10529,19719,9481,13565,7661,5322,4851,77,1019,0,0,0,0,0,0
43922,경부선,1703,금천구청,506,6,9782,1557,16053,5492,37424,12815,35211,25506,18901,9429,12487,7162,11014,7147,11423,8362,11399,9646,10250,9759,10507,12470,11465,14596,14018,21245,22684,35540,10518,28055,7209,16250,6560,14434,4858,11573,1485,7939,33,681,0,0,0,0,0,0
43922,경부선,1704,석수,258,1,6753,2132,14553,5406,32692,10543,32886,15522,17480,11847,10584,9623,9199,6098,9708,6235,10073,6851,9526,6658,10876,8317,12441,9739,15714,14522,17643,28391,9945,24264,6353,13793,5284,14050,3757,11184,1422,6725,43,796,0,0,0,0,0,0
43922,경부선,1705,관악,152,5,6336,1726,10614,3967,27695,4713,25995,8099,12527,7938,7685,7621,6799,5120,7023,5931,7659,5334,7809,5618,8017,6466,9460,7548,10711,11628,9765,23180,6052,19799,4253,10768,3726,10108,2288,8276,789,5664,46,868,0,0,0,0,0,0
43922,경부선,1706,안양,253,3,13372,3206,25993,10861,66907,13015,60162,24181,31330,19542,21090,18221,19869,20090,22893,22013,22656,23865,22260,25123,23378,26054,27283,31030,31152,44130,30775,70768,21957,61526,19256,33690,21943,26911,18210,21337,8405,15706,359,2699,0,1,0,0,0,0
43922,경부선,1707,명학,101,2,5650,2566,8296,8871,20828,18131,18860,45233,9335,11227,6533,5951,6077,5138,7074,5363,7236,5864,6595,5516,7615,5840,10440,7020,20510,9158,32584,16334,11176,14671,8614,8210,6457,7347,3891,6754,1452,4942,43,787,0,0,0,0,0,0
43922,경부선,1708,금정,217,3,20634,7289,29468,21382,66628,35456,68758,73252,38270,25929,23741,16323,22514,16616,23941,17582,23960,18998,21482,20558,22476,23717,27922,30362,47978,45111,63009,70056,30775,60868,22406,36437,19320,34130,14490,29065,6470,20960,399,5602,1,1,0,0,0,0
43922,경부선,1709,군포,60,3,4951,1991,7914,6313,15426,23503,13471,39460,7917,7020,5777,4430,5434,4159,5967,4329,5982,4869,5438,4447,5986,5730,7365,6731,17098,9208,31273,11936,11583,11265,8350,6826,5378,5772,3261,5299,1288,3326,77,550,0,0,0,0,0,0
43922,경부선,1710,의왕,43,0,5359,1773,11030,7739,25423,21530,23622,21801,10941,7531,8029,5392,7543,5313,7753,5637,8169,6537,7490,6420,7816,7889,10525,9307,20467,13099,20369,23404,10286,18233,7176,12324,6141,10222,3702,9318,1499,5746,85,1711,0,0,0,0,0,0
43922,경부선,1711,성균관대,73,8,7267,1506,21417,4708,52795,7043,42515,14994,18638,9792,12683,7761,11722,8202,12928,9049,12684,11209,11446,11123,11507,12432,13599,15830,17648,24805,18927,46478,11152,40763,8958,24594,8520,20756,8108,17143,3535,11762,239,2903,0,0,0,0,0,0
43922,경부선,1712,화서,270,2,6243,2005,16434,5330,31533,3621,22638,7659,9739,4718,7082,4046,6587,4100,6449,4158,6471,5595,5769,5823,5954,6502,8102,7268,9387,13481,8594,25329,5218,21293,3789,12780,3163,10654,2712,8981,864,5727,61,1630,0,0,0,0,0,0
43922,경부선,1713,수원,1785,41,18829,5720,28785,23848,59135,40684,51665,53228,31397,47197,27605,37118,30258,37480,32654,46273,34602,48574,36248,48211,41190,47231,51019,51695,61575,67004,73273,91446,59671,75572,60133,44875,45348,36578,36967,28795,15244,18766,517,5606,0,0,0,0,0,0
43922,경부선,1714,독산,480,4,6039,2658,13882,11918,32231,33192,30874,79128,16416,38772,11695,13105,11702,9230,12455,10705,12985,10217,12688,10149,13447,11374,19135,14144,40617,19042,59951,31733,30419,28178,15245,15769,11969,15809,8198,12112,2440,7714,55,492,0,0,0,0,0,0
43922,경부선,1715,세류,241,1,3112,640,5765,2441,11303,3711,7620,3812,3736,2146,2878,2130,2899,1994,2900,2458,2709,2539,2630,2320,2757,2790,3397,3247,4674,5268,4821,8161,2994,7436,2308,4926,1994,4097,1144,3474,409,1977,7,800,0,0,0,0,0,0
43922,경부선,1716,병점,2296,12,6224,3619,18021,9787,37258,16635,26992,19379,16410,10909,12876,7731,13465,8298,14165,10030,13527,11199,13250,11400,14597,12277,17603,16184,24985,20836,28245,33480,15197,33041,11023,23670,8983,19304,6876,16197,2030,10753,18,6013,0,0,0,0,0,0
43922,경부선,1717,세마,157,0,1560,525,4087,1628,7045,2738,5191,4958,4255,1717,2647,1431,2595,1599,2465,1601,2723,1803,2618,1926,2602,1766,3272,2553,4104,3624,4476,5567,2140,5646,1454,3941,1545,3047,833,2782,339,1669,23,116,0,0,0,0,0,0
43922,경부선,1718,오산대,113,0,2008,560,4442,1857,7270,2995,4829,5058,3502,2143,2749,2175,2524,2301,2690,2322,3025,2876,2978,2451,3276,2014,4220,2836,4947,4004,6095,7089,2973,5785,2292,3930,2130,3431,1348,2372,803,1768,56,124,0,0,0,0,0,0
43922,경부선,1719,오산,175,3,5479,1410,10179,7107,16016,19244,13683,14401,10205,9586,9400,7087,9677,6760,11075,8646,10659,8785,10333,8654,10481,10364,12711,12206,20558,14695,21688,20229,12212,17330,9960,13380,6780,11936,4626,7951,1522,4656,70,394,0,0,0,0,0,0
43922,경부선,1720,진위,3,0,627,226,1083,1910,2023,5757,1848,5719,1192,1049,960,955,990,825,1183,669,1227,992,1103,808,1397,828,1906,967,4675,1277,7384,1658,2422,1690,1619,1031,887,1227,497,1045,188,518,11,45,0,0,0,0,0,0
43922,경부선,1721,송탄,11,0,4721,639,5311,2593,8383,3760,6814,5868,4971,2564,4341,2546,4560,2792,4424,2990,4875,3437,3952,3705,4513,4044,5084,4770,5679,6859,7454,7555,4115,7808,3039,6003,2525,5818,1428,5117,568,2930,31,414,0,0,0,0,0,0
43922,경부선,1722,서정리,14,1,2515,6534,6086,5608,8010,7147,7274,9088,5598,4189,5663,3637,5660,3796,6466,4594,5984,4991,5884,5035,6394,4948,8304,6993,14212,8460,13413,10446,7855,9366,5743,7676,3584,6946,2054,5553,656,3726,16,530,0,0,0,0,0,0
43922,경부선,1723,지제,1,0,689,1682,2148,4766,4387,6111,3393,4276,1957,1929,1717,1253,1624,1613,2486,1558,1842,1710,2018,1510,3111,2284,3774,2104,7138,2404,6245,4446,3937,3126,2355,2319,2597,2279,1564,1898,573,1325,2,65,0,0,0,0,0,0
43922,경부선,1724,평택,51,3,6145,2668,11133,6271,17702,11555,15982,15674,13052,13453,12134,10618,11724,12361,12709,12040,13497,14336,13680,13884,14271,14860,17055,15754,20477,19943,21664,24248,15157,18684,15250,14708,10104,12229,7115,9516,3432,6028,21,998,0,0,0,0,0,0
43922,경부선,1725,성환,14,0,1723,589,2308,1675,3985,7612,4111,7308,3578,3097,3552,2999,3674,3139,3744,3510,4305,3037,4010,3575,4276,3425,5041,3472,8276,5040,7704,5167,3670,4298,3372,3800,1792,3325,1067,2338,462,2233,28,337,0,0,0,0,0,0
43922,경부선,1726,직산,54,1,556,253,1038,649,1248,1801,744,2550,823,671,789,748,680,684,794,746,823,735,762,553,941,738,888,845,1849,1035,2513,1359,866,1030,673,782,481,772,322,490,145,530,13,127,0,0,0,0,0,0
43922,경부선,1727,두정,916,2,3287,589,5881,2316,9492,4870,7011,5388,5064,4581,4558,2853,4673,4097,4459,4648,5183,5347,5091,5112,5344,5268,6191,5611,7866,7809,7934,11574,5422,8214,4326,8140,3406,6229,2806,4906,1599,4042,30,1145,0,1,0,0,0,0
43922,경부선,1728,천안,1847,1,2192,444,3953,2695,6372,3567,5280,5816,6158,6869,5904,6422,6808,7103,6098,7560,7074,8052,7409,7024,7675,8162,8350,8258,8387,8114,8611,10359,6340,7772,5264,6368,4088,3716,2455,3380,1163,2163,3,1545,0,0,0,0,0,0
43922,경부선,1729,당정,2,0,2848,959,8651,2716,20675,6563,17354,14241,8479,3929,6148,3327,5990,3297,5884,3420,5943,4167,5271,3951,5342,5146,6430,6053,9133,9230,13383,15281,5707,15576,4177,10292,3217,8670,2488,7765,968,5197,78,1508,0,0,0,0,0,0
43922,경부선,1749,서동탄,0,0,1028,8,3729,578,8646,1450,3691,1391,1623,671,1387,769,1312,649,1236,997,1218,914,1187,1033,1428,1265,1474,1571,1822,2287,2214,3762,1151,4912,777,2412,544,1990,422,1875,59,1331,8,847,0,1,0,0,0,0
43922,경부선,1750,광명,0,0,16,2053,2396,2335,10544,2795,7498,2720,4244,2075,1183,1805,2731,1141,3193,1830,2348,1896,2160,2851,2476,2214,6605,3346,2439,3687,4901,8189,5342,6139,1126,3340,3505,2131,1314,3296,349,284,0,0,0,0,0,0,0,0
43922,경인선,1801,개봉,1261,12,15944,5714,30839,12023,72611,13582,71411,21465,40647,15633,25493,11897,22410,13876,23847,16317,23430,16557,20272,19819,19621,22920,23006,29363,26054,46413,26538,75575,16177,60051,12408,36161,10603,31971,7670,26725,3310,16360,141,2715,0,0,0,0,0,0
43922,경인선,1802,오류동,418,2,10421,1803,15576,5515,41382,5457,40923,9806,22090,8118,14678,6920,12102,7586,13810,8351,13257,9622,11743,10214,11039,13596,12220,14251,13341,21125,13498,37340,8455,32940,5744,19439,4836,17538,4282,14671,1647,8602,109,2618,0,0,0,0,0,0
43922,경인선,1803,역곡,713,15,23607,3470,38572,10088,103008,11142,99650,23724,50766,18623,30086,16464,26920,17855,29098,20938,28483,22018,25115,24339,25003,27005,27519,38251,29117,52930,29827,97097,19610,86438,15839,49484,14520,42534,11825,38004,5282,22921,462,4663,0,0,0,0,0,0
